"","dateTime8601","instrument","action","station","cast","lat","lon","comment","message.ID","cruise","year","month","day","time","dateTime","date","datetime_decimaldoy","speedlog_waterspeedfwd","speedlog_groundspeedfwd"
"63","2019-08-21 00:10:00+00:00","Bongo Net","recover","L2","B2",41.0267,-70.8761,NA,69,"EN644",2019,8,21,"00:10:00",2019-08-21 00:10:00,"2019-08-21 00:10:00+00:00",232.0069444,1.53,1.53
"64","2019-08-21 08:15:02+00:00","Bongo Net","deploy","L3","B5",40.8648,-70.8748,NA,89,"EN644",2019,8,21,"08:15:02",2019-08-21 08:15:02,"2019-08-21 08:15:00+00:00",232.34375,1.57,1.57
"65","2019-08-21 08:25:02+00:00","Bongo Net","recover","L3","B5",40.8676,-70.8688,NA,90,"EN644",2019,8,21,"08:25:02",2019-08-21 08:25:02,"2019-08-21 08:25:00+00:00",232.3506944,1.66,1.66
"66","2019-08-21 21:12:00+00:00","Bongo Net","deploy","L6","B7",40.3441,-70.875,NA,105,"EN644",2019,8,21,"21:12:00",2019-08-21 21:12:00,"2019-08-21 21:12:00+00:00",232.8833333,1.48,1.48
"67","2019-08-21 21:25:00+00:00","Bongo Net","recover","L6","B7",40.3378,-70.8751,NA,106,"EN644",2019,8,21,"21:25:00",2019-08-21 21:25:00,"2019-08-21 21:25:00+00:00",232.8923611,1.89,1.89
"68","2019-08-22 02:51:00+00:00","Bongo Net","deploy","L7","B8",40.2217,-70.8846,NA,115,"EN644",2019,8,22,"02:51:00",2019-08-22 02:51:00,"2019-08-22 02:51:00+00:00",233.11875,1.06,1.06
"69","2019-08-22 03:05:00+00:00","Bongo Net","recover","L7","B8",40.2158,-70.8879,NA,116,"EN644",2019,8,22,"03:05:00",2019-08-22 03:05:00,"2019-08-22 03:05:00+00:00",233.1284722,2.03,2.03
"70","2019-08-22 05:31:01+00:00","Bongo Net","deploy","L8","B9",40.1212,-70.7736,NA,120,"EN644",2019,8,22,"05:31:01",2019-08-22 05:31:01,"2019-08-22 05:31:00+00:00",233.2298611,2.91,2.91
"71","2019-08-22 05:36:01+00:00","Bongo Net","recover","L8","B9",40.1194,-70.7792,"Didn't collect sample because of bad weather",121,"EN644",2019,8,22,"05:36:01",2019-08-22 05:36:01,"2019-08-22 05:36:00+00:00",233.2333333,2.94,2.94
"72","2019-08-22 17:47:01+00:00","Bongo Net","deploy","L10","B13",39.9319,-70.8849,NA,142,"EN644",2019,8,22,"17:47:01",2019-08-22 17:47:01,"2019-08-22 17:47:00+00:00",233.7409722,1.28,1.28
"73","2019-08-22 18:15:01+00:00","Bongo Net","recover","L10","B13",39.9255,-70.8883,NA,164,"EN644",2019,8,22,"18:15:01",2019-08-22 18:15:01,"2019-08-22 18:15:00+00:00",233.7604167,0.63,0.63
